order_no,booking_time,pickup_time,drop_off_time,driver_id,booking_pickup_latitude,booking_pickup_longitude,booking_destination_latitude,booking_destination_longitude,status,fare,surge_multiplier,customer_id,discount_amt,pickup_s2id_15,dropoff_s2id_15,pickup_s2id_14,dropoff_s2id_14,pickup_s2id_13,dropoff_s2id_13,trip_id,n_order,n_trip,n_cancel,time_period,weekend,wait_time_x,travel_time_x,wait_time_y,travel_time_y
RB-2970476516,2019-11-05 10:03:49,2019-11-05 10:08:49,2019-11-05 10:21:23,700135040.0,1.302005,103.835934,1.27911,103.83531,1,700,1.100000023841858,111923,0.0,3592211766563569664,3592211620534681600,3592211763342344192,3592211617313456128,3592211776227246080,3592211604428554240,30,1,1,0,day_nonpeak,0,0 days 00:05:00,0 days 00:12:34,0 days 00:05:00,0 days 00:12:34
RB-2972590519,2019-11-05 18:57:32,,2019-11-05 18:59:15,700274867.0,1.278807,103.840681,1.279534,103.835301,3,830,1.7999999523162842,111923,0.0,3592211611944747008,3592211620534681600,3592211608723521536,3592211617313456128,3592211604428554240,3592211604428554240,31,1,0,1,pm_peak,0,,,,
RB-2973527050,2019-11-05 22:42:51,2019-11-05 22:45:18,2019-11-05 22:54:22,700316017.0,1.27911,103.83531,1.280483,103.850593,1,1420,3.0,111923,0.0,3592211620534681600,3592211199627886592,3592211617313456128,3592211196406661120,3592211604428554240,3592211192111693824,32,1,1,0,pm_peak,0,0 days 00:02:27,0 days 00:09:04,0 days 00:02:27,0 days 00:09:04
RB-2973675084,2019-11-06 00:23:45,,2019-11-06 00:30:19,700305507.0,1.280483,103.850593,1.302005,103.835934,3,1490,1.7000000476837158,111923,0.0,3592211199627886592,3592211766563569664,3592211196406661120,3592211763342344192,3592211192111693824,3592211776227246080,33,1,0,1,midnight,0,,,,
RB-3067729945,2019-11-30 11:53:46,,2019-11-30 11:54:07,700640784.0,1.355834,103.987293,1.307648,103.828495,3,1830,1.1,111944,0.0,3592250232290672640,3592211745088733184,3592250229069447168,3592211746162475008,3592250224774479872,3592211741867507712,34,1,0,1,day_nonpeak,1,,,,
RB-2973452737,2019-11-05 22:12:52,,2019-11-05 22:14:32,,1.29432,103.83223,1.2919289,103.8499244,2,1220,1.899999976158142,111978,0.0,3592211710728994816,3592211833135562752,3592211711802736640,3592211832061820928,3592211707507769344,3592211844946722816,35,2,1,1,pm_peak,0,0 days 00:09:48,0 days 00:09:18,0 days 00:09:48,0 days 00:09:18
RB-2973462467,2019-11-05 22:16:23,2019-11-05 22:22:40,2019-11-05 22:31:58,700283549.0,1.295295017374675,103.83111320436,1.2919289,103.8499244,1,1170,1.899999976158142,111978,0.0,3592211710728994816,3592211833135562752,3592211711802736640,3592211832061820928,3592211707507769344,3592211844946722816,35,2,1,1,pm_peak,0,0 days 00:09:48,0 days 00:09:18,0 days 00:09:48,0 days 00:09:18
RB-2977468146,2019-11-06 21:57:22,2019-11-06 22:04:48,2019-11-06 22:14:46,700125921.0,1.310273,103.854901,1.303517,103.836278,1,1140,1.7999999523162842,112019,0.0,3592211992049352704,3592211775153504256,3592211995270578176,3592211771932278784,3592211982385676288,3592211776227246080,36,1,1,0,pm_peak,0,0 days 00:07:26,0 days 00:09:58,0 days 00:07:26,0 days 00:09:58
RB-2978793426,2019-11-07 10:42:03,2019-11-07 10:46:26,2019-11-07 11:02:42,700154030.0,1.303517,103.836278,1.302285,103.858964,1,700,1.100000023841858,112019,0.0,3592211775153504256,3592211899707555840,3592211771932278784,3592211900781297664,3592211776227246080,3592211913666199552,37,1,1,0,day_nonpeak,0,0 days 00:04:23,0 days 00:16:16,0 days 00:04:23,0 days 00:16:16
RB-2981429777,2019-11-07 21:37:11,,2019-11-07 21:38:59,,1.301138,103.841973,1.289503,103.856886,2,1330,2.25,112019,0.0,3592211785890922496,3592211863200333824,3592211789112147968,3592211866421559296,3592211776227246080,3592211879306461184,38,2,0,2,pm_peak,0,,,,
